Date Posted,Media Type,Post Text,Post Likes,Post Comments,Video Views,Media Links
Status is offline,Video,Stick and remove anything anywhere… with ease!  Find it on SearchFindOrder #innovation #gadgets #tech #technology,32,1comment,690,https://dms.licdn.com/playlist/C4E05AQErKXfUsX0khQ/mp4-720p-30fp-crf28/0/1620143148426?e=1620234000&v=beta&t=STqHyWaDm2pYBXHXwgTjAu9whO5zCDtZq7vh8sDwYlA
Status is offline,Multiple Images,Failure is part of the process of success.,"1,054",51comment,N/A,https://media-exp1.licdn.com/dms/image/C4E22AQHpjdAlQfAlKw/feedshare-shrink_800/0/1620137911166?e=1623283200&v=beta&t=nQo6kxdQeZDs2bEJAkAAxgf3L0H5PAFXp0DxaNRwwVs
Status is offline,Video,This fast hair Straightener brush will straighten your hair fast and comb your shiny hair smooth.,346,38comment,"10,380",https://dms.licdn.com/playlist/C4E05AQFrdxpkUc_K6g/mp4-720p-30fp-crf28/0/1620126059053?e=1620234000&v=beta&t=bgNO6E3I-QHTnP0ERKud-R0n-K00a6xvlb1lwu5kBUA
Status is offline,Multiple Images,"If you remain positive in a negative situation, you win.","1,707",64comment,N/A,https://media-exp1.licdn.com/dms/image/C4E22AQFuF5J9R9ZEBA/feedshare-shrink_800/0/1620122755568?e=1623283200&v=beta&t=o9Eum7ffiMb_FLnoops60lMZC07weEF-5wJ_CLqJbvA
Status is offline,Multiple Images,"In order to love who you are, you cannot hate the experiences that shaped you.",973,78comment,N/A,https://media-exp1.licdn.com/dms/image/C4E22AQHSsSnUSxRA0g/feedshare-shrink_800/0/1620086817920?e=1623283200&v=beta&t=PM8k0voa59vmpLlSQ8U78kFp0pkEiaE3u4vfJ56_qcE
Status is offline,Video,"In what looks like a scene straight out of a Hollywood blockbuster, the Royal Navy recently teamed up with Gravity Industries' founder Richard Browning to help him test his Daedalus jetpack over open water for the first time.Will helicopter landing operations be a thing of the past?","6,236",417comment,"169,488",https://dms.licdn.com/playlist/C4E05AQH1Ib63cHAPCg/mp4-640p-30fp-crf28/0/1620074693792?e=1620234000&v=beta&t=e8Z7CK9EWw8M-J-GJojqwC2xBuQElvw_lWkUQSoelww
Status is offline,Video,Watch and be amazed!,"1,237",56comment,"26,372",https://dms.licdn.com/playlist/C4E05AQHwO9YPUbg2TA/mp4-640p-30fp-crf28/0/1620069436763?e=1620234000&v=beta&t=blYraGurpJulgklAmMUCTg_4YgDn-J30GQ3Y9lurEAw
Status is offline,Multiple Images,Message in a bottle... 21st century version.,"7,725",418comment,N/A,https://media-exp1.licdn.com/dms/image/C4E22AQHQPPyDrxFnwg/feedshare-shrink_800/0/1620061284117?e=1623283200&v=beta&t=iM893c4ad2Nvj9EToswT4_KfSZ-lyAeU9Ih1MGSW7E0
Status is offline,Image,These bench designs area amazing!,"3,478",156comment,N/A,https://media-exp1.licdn.com/dms/image/C4D22AQHrKuSFRziuOw/feedshare-shrink_2048_1536/0/1620055674558?e=1623283200&v=beta&t=TUELrPAQrSe8U2HQQWuVZAwkDo40nJyUvLJMZOa1rIE
Status is offline,Video,"This ergonomic laptop stand can help reduce headaches, eye strain... and can help your posture too! Find it on SearchFindOrder #innovation #gadgets #tech #technology","1,954",134comment,"60,350",https://dms.licdn.com/playlist/C4E05AQEWmjgmR8jSpA/mp4-720p-30fp-crf28/0/1620047393471?e=1620234000&v=beta&t=riK2IMH1EHPV_4OHC2H4PpO9SHPUsw5QrwU93Z7xKSc
